release_date,title,phase
2008-05-02,Iron Man,Phase 1
2008-06-13,The Incredible Hulk,Phase 1
2010-05-07,Iron Man 2,Phase 1
2011-05-06,Thor,Phase 1
2011-07-22,Captain America: The First Avenger,Phase 1
2012-05-04,The Avengers,Phase 1
2013-05-03,Iron Man 3,Phase 2
2013-11-08,Thor: The Dark World,Phase 2
2014-04-04,Captain America: The Winter Soldier,Phase 2
2014-08-01,Guardians of the Galaxy,Phase 2
2015-05-01,Avengers: Age of Ultron,Phase 2
2015-07-17,Ant-Man,Phase 2
2016-05-06,Captain America: Civil War,Phase 3
2016-11-04,Doctor Strange,Phase 3
2017-05-05,Guardians of the Galaxy Vol. 2,Phase 3
2017-07-07,Spider-Man: Homecoming,Phase 3
2017-11-03,Thor: Ragnarok,Phase 3
2018-02-16,Black Panther,Phase 3
2018-04-27,Avengers: Infinity War,Phase 3
2018-07-06,Ant-Man and the Wasp,Phase 3
2019-03-08,Captain Marvel,Phase 3
2019-04-26,Avengers: Endgame,Phase 3
2019-07-02,Spider-Man: Far From Home,Phase 3
2021-07-09,Black Widow,Phase 4
2021-09-03,Shang-Chi and the Legend of the Ten Rings,Phase 4
2021-11-05,Eternals,Phase 4
2021-12-17,Spider-Man: No Way Home,Phase 4
2022-05-06,Doctor Strange in the Multiverse of Madness,Phase 4
2022-07-08,Thor: Love and Thunder,Phase 4
2022-11-11,Black Panther: Wakanda Forever,Phase 4
2023-02-17,Ant-Man and the Wasp: Quantumania,Phase 5
2023-05-05,Guardians of the Galaxy Vol. 3,Phase 5
2023-11-10,The Marvels,Phase 5
2024-07-26,Deadpool & Wolverine,Phase 5
2025-02-14,Captain America: Brave New World,Phase 5
2025-05-02,Thunderbolts*,Phase 5
